,GMT,Magnitude,Persistence,StockPrice,PerChg,AbsPerChg,Currency
0,0.563194444444,1.00011547501,0.599999904633,2102.29,-0.00761074827924,0.00761074827924,USD
1,0.563194444444,1.00011547501,0.599999904633,893.36,0.040313549832,0.040313549832,EUR
2,0.563888888889,1.00050082712,1.31999993324,2102.07,-0.0104658741146,0.0104658741146,USD
3,0.563888888889,1.00050082712,1.31999993324,8120.89,-0.00209336661376,0.00209336661376,CHF
4,0.563888888889,1.00050082712,1.31999993324,893.57,0.0235067609922,0.0235067609922,EUR
5,0.563888888889,1.00050082712,1.31999993324,13960.0,0.122858493266,0.122858493266,CAD
6,0.565277777778,1.00000334548,0.240000009537,2103.46,0.0389985922459,0.0389985922459,USD
7,0.565277777778,1.00000334548,0.240000009537,13938.74,-0.174692977988,0.174692977988,CAD
8,0.565972222222,1.00001209534,0.72000002861,2101.26,-0.104699085311,0.104699085311,USD
9,0.565972222222,1.00001209534,0.72000002861,8122.17,-0.0744874830249,0.0744874830249,CHF
10,0.565972222222,1.00001209534,0.72000002861,893.28,-0.108588572452,0.108588572452,EUR
11,0.566666666667,1.00060910395,0.730000019073,2101.24,-0.000951818925987,0.000951818925987,USD
12,0.566666666667,1.00060910395,0.730000019073,8123.65,0.0182217313846,0.0182217313846,CHF
13,0.566666666667,1.00060910395,0.730000019073,893.14,-0.0156750341492,0.0156750341492,EUR
14,0.566666666667,1.00060910395,0.730000019073,13924.51,-0.0439512772801,0.0439512772801,CAD
15,0.567361111111,1.00457319588,3.35000014305,2100.17,-0.0509482565697,0.0509482565697,USD
16,0.567361111111,1.00457319588,3.35000014305,8119.72,-0.0484006837674,0.0484006837674,CHF
17,0.567361111111,1.00457319588,3.35000014305,892.76,-0.0425646310318,0.0425646310318,EUR
18,0.567361111111,1.00457319588,3.35000014305,13927.35,0.020395690764,0.020395690764,CAD
19,0.568055555556,1.00049849556,1.4500002861,2100.5,0.0157130137084,0.0157130137084,USD
20,0.568055555556,1.00049849556,1.4500002861,8121.4,0.0206903686334,0.0206903686334,CHF
21,0.568055555556,1.00049849556,1.4500002861,892.74,-0.00224029392657,0.00224029392657,EUR
22,0.568055555556,1.00049849556,1.4500002861,13927.16,-0.00136424080717,0.00136424080717,CAD
23,0.56875,1.00000682901,0.119999885559,2100.72,0.0104736967389,0.0104736967389,USD
24,0.56875,1.00000682901,0.119999885559,13911.63,-0.111633216237,0.111633216237,CAD
25,0.569444444444,1.00001183183,0.120000123978,2098.8,-0.0914808461978,0.0914808461978,USD
26,0.569444444444,1.00001183183,0.120000123978,13901.24,-0.0747415338488,0.0747415338488,CAD
27,0.570138888889,1.00005542528,0.360000133514,892.35,0.0201755270856,0.0201755270856,EUR
28,0.570138888889,1.00005542528,0.360000133514,2099.33,0.0252525252525,0.0252525252525,USD
29,0.570138888889,1.00005542528,0.360000133514,8120.72,0.018844244315,0.018844244315,CHF
30,0.570138888889,1.00005542528,0.360000133514,13894.14,-0.051100679855,0.051100679855,CAD
31,0.570833333333,1.00003294605,0.240000009537,2099.59,0.012384903755,0.012384903755,USD
32,0.570833333333,1.00003294605,0.240000009537,892.76,0.0459460973833,0.0459460973833,EUR
33,0.571527777778,1.00000928875,0.240000247955,2099.15,-0.0209608651121,0.0209608651121,USD
34,0.571527777778,1.00000928875,0.240000247955,892.81,0.00560060934629,0.00560060934629,EUR
35,0.572222222222,1.00013105484,0.710000038147,2098.95,-0.00952857381074,0.00952857381074,USD
36,0.572222222222,1.00013105484,0.710000038147,13903.72,0.0258990569866,0.0258990569866,CAD
37,0.572916666667,1.00129464725,1.35000014305,2097.86,-0.0519577092847,0.0519577092847,USD
38,0.572916666667,1.00129464725,1.35000014305,8120.0,-0.0272167487685,0.0272167487685,CHF
39,0.572916666667,1.00129464725,1.35000014305,13911.05,0.0527197037915,0.0527197037915,CAD
40,0.572916666667,1.00129464725,1.35000014305,891.85,-0.0717609463475,0.0717609463475,EUR
41,0.573611111111,1.00003823486,0.369999885559,2098.43,0.0271705452223,0.0271705452223,USD
42,0.573611111111,1.00003823486,0.369999885559,8124.7,0.057881773399,0.057881773399,CHF
43,0.573611111111,1.00003823486,0.369999885559,892.73,0.0986713012278,0.0986713012278,EUR
44,0.573611111111,1.00003823486,0.369999885559,13904.65,-0.0460277676892,0.0460277676892,CAD
45,0.574305555556,1.00149324329,3.67999887466,2097.73,-0.0333694040701,0.0333694040701,USD
46,0.574305555556,1.00149324329,3.67999887466,8121.22,-0.0428507046971,0.0428507046971,CHF
47,0.574305555556,1.00149324329,3.67999887466,892.5,-0.0257703081233,0.0257703081233,EUR
48,0.574305555556,1.00149324329,3.67999887466,13904.01,-0.00460298863421,0.00460298863421,CAD
49,0.575,1.00010715396,0.589999914169,2097.25,-0.022887114078,0.022887114078,USD
50,0.575,1.00010715396,0.589999914169,8119.53,-0.0208140126337,0.0208140126337,CHF
51,0.575,1.00010715396,0.589999914169,13914.56,0.0758773907671,0.0758773907671,CAD
52,0.575,1.00010715396,0.589999914169,892.34,-0.0179303852792,0.0179303852792,EUR
53,0.576388888889,1.00006643038,0.470000267029,2098.81,0.0476687593252,0.0476687593252,USD
54,0.576388888889,1.00006643038,0.470000267029,8133.12,0.107577439755,0.107577439755,CHF
55,0.576388888889,1.00006643038,0.470000267029,893.82,0.12882700214,0.12882700214,EUR
56,0.577083333333,1.00007655247,0.740000009537,2098.69,-0.00571785256516,0.00571785256516,USD
57,0.577083333333,1.00007655247,0.740000009537,893.9,0.00895034794477,0.00895034794477,EUR
